Group,Stadium,Attendance,PctAttendance,Date_Format_CET,Team_1,Team_2,DatePlayed,,,
16,Saint Petersburg Stadium,64042,99.30%,07/03/2018,Sweden,Switzerland,7/3/18 4:00 PM,,,
16,Spartak Stadium,44190,100.00%,07/03/2018,Colombia,England,7/3/18 8:00 PM,,,
Quarter,Nizhny Novgorod Stadium,"43,319",100%,07/06/2018,Uruguay,France,7/6/18 4:00 PM,,,
Quarter,Kazan Arena,"42,873",100%,07/06/2018,Brazil,Belgium,7/6/18 8:00 PM,,,
Quarter,Samara Arena,"39,991",95.30%,07/07/2018,Sweden,England,7/7/18 4:00 PM,,,
Quarter,Fisht Stadium,"44,287",100%,07/07/2018,Russia,Croatia,7/7/18 8:00 PM,,,
Semi,Saint Petersburg Stadium,"64,286",99.70%,07/10/2018,France,Belgium,7/10/18 8:00 PM,,,
Semi,Luzhniki Stadium,"78,011",100%,07/11/2018,Croatia,England,7/11/18 8:00 PM,,,
3rd,Saint Petersburg Stadium,,,14/07/2018 16:00,Belgium,England,7/14/18 4:00 PM,,,
Finals,Luzhniki Stadium,,,15/07/2018 17:00,France,Croatia,7/15/18 5:00 PM,,,
